prompt_id,input_tokens,output_tokens,response_sec,tokens_per_sec,avg_cpu_watts,avg_gpu_watts,avg_total_watts,cpu_energy_wh,gpu_energy_wh,total_energy_wh,total_energy_j,joules_per_token,total_flops,flops_per_token,peak_gpu_mem_mb,peak_cpu_mem_mb,carbon_kg
0,257,256,3.532219188000454,72.47568352204057,6.567604994598473,118.31285714285715,124.88046213745562,0.006443950105868985,0.11608526227421018,0.12252921238007915,441.1051645682849,1.723067049094863,138196979712,539831952.0,226.64501953125,0.0,
1,45,256,2.6117930410000554,98.01695462898455,6.885515783313407,118.86399999999999,125.7495157833134,0.0049954283907094445,0.08623560222928627,0.09123103061999571,328.43171023198454,1.2829363680936896,78733971456,307554576.0,189.7646484375,0.0,
2,34,256,2.6271633859996655,97.44350174954539,7.005392861477302,119.018,126.0233928614773,0.005112308786171276,0.08685548107636339,0.09196778986253466,331.0840435051248,1.2932970449418937,75739054080,295855680.0,188.9912109375,0.0,
3,43,256,2.6051960099994176,98.26515894289936,6.916770640181244,119.766,126.68277064018125,0.005005428687189248,0.08667052925933062,0.09167595794651988,330.03344860747154,1.2891931586229357,78188777472,305424912.0,189.6240234375,0.0,
4,98,256,2.6282638370012137,97.40270226907276,6.9176631751482045,119.70599999999999,126.6236631751482,0.005050401099943616,0.08739415302001868,0.09244455411996229,332.80039483186425,1.3000015423119697,93289070592,364410432.0,193.49365234375,0.0,
5,71,256,2.6272628599999734,97.43981232239646,6.862212577841321,119.63600000000001,126.49821257784133,0.005008010067551995,0.08730978319971024,0.09231779326726224,332.344055762144,1.298218967820875,85848330240,335345040.0,191.59521484375,0.0,
6,35,256,2.587768358998801,98.92693799650814,6.829368236553867,119.756,126.58536823655386,0.004909117509584871,0.08608355211118345,0.09099266962076831,327.57361063476594,1.2795844165420545,76010950656,296917776.0,189.0615234375,0.0,
7,74,256,2.6242264669999713,97.55255623675669,7.010636489475422,120.40599999999999,127.41663648947541,0.005110416062832546,0.08777016999599958,0.09288058605883212,334.37010981179566,1.3061332414523268,86672424960,338564160.0,191.80615234375,0.0,
8,45,256,2.6039584040008776,98.31186228115867,6.978350990327037,120.21399999999998,127.19235099032701,0.005047593252036093,0.08695340432737818,0.09200099757941427,331.2035912858914,1.2937640284605132,78733971456,307554576.0,189.7646484375,0.0,
9,59,256,2.59441660199991,98.67343579387443,6.799398206583834,120.648,127.44739820658383,0.004900130997435976,0.086947548388357,0.09184767938579297,330.6516457888547,1.2916079913627136,82558586880,322494480.0,190.7490234375,0.0,
10,52,256,2.602159328998823,98.37983291303519,6.886887239482148,120.66599999999998,127.55288723948213,0.00497799385499484,0.08722004377582554,0.09219803763082038,331.91293547095336,1.2965349041834116,80644472832,315017472.0,190.2568359375,0.0,
11,40,256,2.575744780000605,99.38872903391457,6.797902696106289,120.606,127.40390269610629,0.004863795106791058,0.08629174303798692,0.09115553814477798,328.1599373212007,1.2818747551609402,77371539456,302232576.0,189.4130859375,0.0,
12,53,256,2.5896789629987325,98.8539520371913,6.743256743256741,120.97200000000001,127.71525674325675,0.0048507972583642575,0.08702184541996742,0.09187264267833167,330.741513641994,1.291959037664039,80917696512,316084752.0,190.3271484375,0.0,
13,31,256,2.5987396509990504,98.50929080240272,7.460482969329258,120.898,128.35848296932926,0.0053855146966664096,0.08727289620180088,0.0926584108984673,333.57027923448226,1.3030089032596963,74923806720,292671120.0,188.7802734375,0.0,
14,69,256,2.6006890690005093,98.43545045482324,6.830833836821857,121.78000000000002,128.61083383682188,0.004934687469883726,0.08797553189524501,0.09291021936512875,334.4767897144635,1.306549959822123,85299302400,333200400.0,191.45458984375,0.0,
15,20,256,2.5679160529998626,99.69173240727184,6.801671382509705,122.11600000000001,128.91767138250972,0.004851700313993456,0.08710656575781424,0.0919582660718077,331.0497578585077,1.2931631166347957,71940243456,281016576.0,188.0068359375,0.0,
16,48,256,2.5988902669996605,98.50358179822044,6.947633205118237,122.40599999999999,129.35363320511823,0.005015593420962623,0.08836660056176679,0.0933821939827294,336.17589833782586,1.3131871028821323,79552315392,310751232.0,189.9755859375,0.0,
17,65,23,0.23988703900067776,95.87846052797799,3.4465534465534464,118.08,121.52655344655345,0.00022966208362535745,0.00786829487922223,0.008097956962847588,29.152645066251317,1.2675063072283181,22327590912,970764822.2608696,183.0673828125,0.0,
18,19,256,2.579321956998683,99.25089006642791,6.798650451345063,122.38000000000002,129.17865045134508,0.004871085663087036,0.08768261697152747,0.0925537026346145,333.1933294846122,1.3015364432992664,71669452800,279958800.0,187.9365234375,0.0,
19,92,256,2.6168688679990737,97.82683539498267,6.8900620844698794,122.51200000000001,129.4020620844699,0.005008441379841675,0.08905495521008405,0.09406339658992571,338.62822772373255,1.3227665145458303,91630927872,357933312.0,193.07177734375,0.0,
20,28,256,2.5879698549997556,98.91923567248205,6.858560601075571,122.36000000000001,129.21856060107558,0.004930485578964606,0.08796221984938059,0.0928927054283452,334.4137395420427,1.3063036700861044,74109222912,289489152.0,188.5693359375,0.0,
21,19,256,2.5717050740004197,99.54485161931062,6.74101347754042,122.678,129.41901347754043,0.004815527378915531,0.08763656529672874,0.09245209267564428,332.8275336323194,1.3001075532512476,71669452800,279958800.0,187.9365234375,0.0,
22,41,256,2.6006540400012454,98.4367763118071,6.916110945609274,122.72600000000003,129.6421109456093,0.00499622551994322,0.08865774103144249,0.09365396655138569,337.1542795849885,1.3170089046288613,77643878400,303296400.0,189.4833984375,0.0,
23,21,256,2.5828530979997595,99.11519946614627,6.739517967062875,122.726,129.46551796706288,0.004835329127848163,0.08805089702919958,0.09288622615704774,334.39041416537185,1.3062125553334838,72211107840,282074640.0,188.0771484375,0.0,
24,106,256,2.6316614729985304,97.27694942021252,6.9468915929534045,123.04399999999998,129.99089159295337,0.005078296378409129,0.08994726507878643,0.09502556145719555,342.092021245904,1.3362969579918125,95504056320,373062720.0,194.05615234375,0.0,
25,100,256,2.628200929999366,97.40503364027869,6.9185604814347315,123.056,129.97456048143474,0.005050935303212117,0.08983774823388944,0.09488868353710156,341.5992607335656,1.3343721122404906,93842374656,366571776.0,193.63427734375,0.0,
26,76,256,2.6104385790004017,98.06781207548212,6.973603139685727,123.098,130.07160313968572,0.00505671185290943,0.08926104672160873,0.09431775857451816,339.54393086826536,1.3263434799541616,87222190080,340711680.0,191.94677734375,0.0,
27,60,256,2.603792780000731,98.31811577568324,6.946107784431139,123.68199999999999,130.62810778443114,0.005023951471724632,0.089456194060014,0.09448014553173864,340.1285239142591,1.3286270465400747,82832326656,323563776.0,190.8193359375,0.0,
28,64,256,2.6027541580006073,98.35734935359972,6.829338326344311,123.478,130.3073383263443,0.004937524645912656,0.08927302164488861,0.09421054629080126,339.1579666468846,1.3248358072143929,83928023040,327843840.0,191.1005859375,0.0,
29,88,256,2.6212326739987475,97.66397410629955,6.918503702731854,123.89200000000001,130.81050370273186,0.005037502211328348,0.09020826623529245,0.0952457684466208,342.8847664078349,1.339393618780605,90526973952,353620992.0,192.79052734375,0.0,
30,36,256,2.599477431998821,98.48133199723664,6.885364860511276,124.154,131.03936486051128,0.004971764046104658,0.08964875585899489,0.09462051990509956,340.63387165835843,1.3306010611654626,76282920960,297980160.0,189.1318359375,0.0,
31,51,256,2.6141652269998303,97.92801057712815,6.914618417206458,124.398,131.31261841720647,0.005021098617842702,0.09033247941897914,0.09535357803682185,343.2728809325586,1.3409096911428071,80371322880,313950480.0,190.1865234375,0.0,
32,42,256,2.5901249069993355,98.83693226848139,6.800175872032159,124.63,131.43017587203215,0.004892584693924005,0.08966868532203533,0.09456127001595932,340.42057205745357,1.329767859599428,77916291072,304360512.0,189.5537109375,0.0,
33,89,256,2.6125258329993812,97.98946167973094,6.861641352659315,124.91400000000002,131.77564135265933,0.004979504247388688,0.09065029219535688,0.09562979644274557,344.26726719388404,1.3447940124761095,90802851840,354698640.0,192.86083984375,0.0,
34,40,256,2.610008548999758,98.08396991577199,6.915482771567213,124.46400000000001,131.3794827715672,0.00501374143173638,0.09023669556741833,0.09525043699915468,342.90157319695686,1.3394592703006127,77371539456,302232576.0,189.4130859375,0.0,
35,39,256,2.5740092150008422,99.45574340141445,6.770205842062128,125.08800000000001,131.85820584206215,0.004840714506922348,0.0894382401905626,0.09427895469748496,339.4042369109458,1.3257978004333821,77099274240,301169040.0,189.3427734375,0.0,
36,48,256,2.5693274660006864,99.63696857936115,6.770175931852577,125.054,131.82417593185258,0.004831888603157116,0.08925129914812495,0.09408318775128206,338.69947590461544,1.323044827752404,79552315392,310751232.0,189.9755859375,0.0,
37,123,256,2.612577369000064,97.98752872837647,6.944558536966939,125.65799999999999,132.60255853696694,0.0050397767976044505,0.09119201306494723,0.0962317898625517,346.4344435051861,1.3532595449421332,100226568192,391510032.0,196.2294921875,0.0,
38,57,256,2.587248579999141,98.9468124474089,6.826320436895895,125.422,132.24832043689588,0.004905941071382783,0.09013830316684784,0.09504424423823062,342.1592792576302,1.336559684600118,82011328512,320356752.0,190.6083984375,0.0,
39,37,256,2.5698704040005396,99.61591821964352,6.740235812092098,125.61599999999999,132.35623581209208,0.004811536813744451,0.08967134463025882,0.09448288144400327,340.1383731984118,1.328665520306296,76554964992,299042832.0,189.2021484375,0.0,
40,21,256,2.577574475999427,99.3181777611833,6.74101347754042,125.526,132.26701347754042,0.004826517856132312,0.08987572602064002,0.09470224387677233,340.9280779563804,1.3317503045171108,72211107840,282074640.0,188.0771484375,0.0,
41,19,14,0.15461491199857846,90.54754046057806,2.247752247752255,121.03,123.27775224775226,9.653778221689495e-05,0.005198067444218875,0.00529460522643577,19.060578815168775,1.3614699153691983,8305938432,593281316.5714285,172.62646484375,0.0,
42,106,256,2.624300220000805,97.54981463207798,6.891611382629344,126.28400000000002,133.17561138262937,0.005023793685442844,0.09205753582849492,0.09708132951393778,349.492786250176,1.36520619628975,95504056320,373062720.0,194.05615234375,0.0,
43,50,256,2.5836697699996876,99.08387014956287,6.800175872032159,126.154,132.95417587203215,0.004880391342014098,0.09053896560126128,0.09541935694327537,343.50968499579136,1.34183470701481,80098246656,312883776.0,190.1162109375,0.0,
